rag_inline_enabled prompt_version=sft_v11_rag_frontier rag_index=artifacts/rag_index/pepper_expert_with_farm_case_index.json chunks_loaded=226
[95/200] forbidden-eval-007 passed=False strict_json=True
[96/200] forbidden-eval-008 passed=False strict_json=True
[97/200] forbidden-eval-009 passed=False strict_json=True
[98/200] forbidden-eval-010 passed=False strict_json=True
[99/200] forbidden-eval-011 passed=False strict_json=True
[100/200] forbidden-eval-012 passed=False strict_json=True
[101/200] forbidden-eval-013 passed=False strict_json=True
[102/200] forbidden-eval-014 passed=False strict_json=True
[103/200] forbidden-eval-015 passed=False strict_json=True
[104/200] forbidden-eval-016 passed=False strict_json=True
[105/200] forbidden-eval-017 passed=False strict_json=True
[106/200] forbidden-eval-018 passed=False strict_json=True
[107/200] forbidden-eval-019 passed=False strict_json=True
[108/200] forbidden-eval-020 passed=False strict_json=True
[109/200] failure-eval-001 passed=False strict_json=True
[110/200] failure-eval-002 passed=False strict_json=True
[111/200] failure-eval-003 passed=False strict_json=True
[112/200] failure-eval-004 passed=False strict_json=True
[113/200] failure-eval-005 passed=False strict_json=True
[114/200] failure-eval-006 passed=False strict_json=True
[115/200] failure-eval-007 passed=False strict_json=True
[116/200] failure-eval-008 passed=False strict_json=True
[117/200] failure-eval-009 passed=False strict_json=True
[118/200] failure-eval-010 passed=True strict_json=True
[119/200] failure-eval-011 passed=False strict_json=True
[120/200] failure-eval-012 passed=True strict_json=True
[121/200] failure-eval-013 passed=False strict_json=True
[122/200] failure-eval-014 passed=False strict_json=True
[123/200] failure-eval-015 passed=False strict_json=True
[124/200] failure-eval-016 passed=False strict_json=True
[125/200] failure-eval-017 passed=False strict_json=True
[126/200] failure-eval-018 passed=False strict_json=True
[127/200] failure-eval-019 passed=False strict_json=True
[128/200] failure-eval-020 passed=False strict_json=True
[129/200] failure-eval-021 passed=False strict_json=True
[130/200] failure-eval-022 passed=False strict_json=True
[131/200] failure-eval-023 passed=False strict_json=True
[132/200] failure-eval-024 passed=False strict_json=True
[133/200] robot-eval-001 passed=False strict_json=True
[134/200] robot-eval-002 passed=False strict_json=False
[135/200] robot-eval-003 passed=True strict_json=True
[136/200] robot-eval-004 passed=False strict_json=True
[137/200] robot-eval-005 passed=True strict_json=True
[138/200] robot-eval-006 passed=False strict_json=True
[139/200] robot-eval-007 passed=False strict_json=True
[140/200] robot-eval-008 passed=True strict_json=True
[141/200] robot-eval-009 passed=False strict_json=True
[142/200] robot-eval-010 passed=False strict_json=True
[143/200] robot-eval-011 passed=False strict_json=True
[144/200] robot-eval-012 passed=False strict_json=True
[145/200] robot-eval-013 passed=False strict_json=True
[146/200] robot-eval-014 passed=False strict_json=True
[147/200] robot-eval-015 passed=False strict_json=True
[148/200] robot-eval-016 passed=False strict_json=True
[149/200] edge-eval-001 passed=False strict_json=True
[150/200] edge-eval-002 passed=False strict_json=True
[151/200] edge-eval-003 passed=False strict_json=True
[152/200] edge-eval-004 passed=False strict_json=True
[153/200] edge-eval-005 passed=False strict_json=True
[154/200] edge-eval-006 passed=False strict_json=True
[155/200] edge-eval-007 passed=False strict_json=True
[156/200] edge-eval-008 passed=False strict_json=True
[157/200] edge-eval-009 passed=False strict_json=True
[158/200] edge-eval-010 passed=False strict_json=True
[159/200] edge-eval-011 passed=False strict_json=True
[160/200] edge-eval-012 passed=False strict_json=True
[161/200] edge-eval-013 passed=False strict_json=True
[162/200] edge-eval-014 passed=False strict_json=True
[163/200] edge-eval-015 passed=True strict_json=True
[164/200] edge-eval-016 passed=False strict_json=True
[165/200] edge-eval-017 passed=False strict_json=True
[166/200] edge-eval-018 passed=False strict_json=True
[167/200] edge-eval-019 passed=False strict_json=True
[168/200] edge-eval-020 passed=False strict_json=True
[169/200] edge-eval-021 passed=False strict_json=True
[170/200] edge-eval-022 passed=False strict_json=True
[171/200] edge-eval-023 passed=False strict_json=True
[172/200] edge-eval-024 passed=False strict_json=True
[173/200] edge-eval-025 passed=False strict_json=True
[174/200] edge-eval-026 passed=False strict_json=True
[175/200] edge-eval-027 passed=False strict_json=True
[176/200] edge-eval-028 passed=False strict_json=True
[177/200] seasonal-eval-001 passed=False strict_json=True
[178/200] seasonal-eval-002 passed=True strict_json=True
[179/200] seasonal-eval-003 passed=False strict_json=True
[180/200] seasonal-eval-004 passed=False strict_json=True
[181/200] seasonal-eval-005 passed=False strict_json=True
[182/200] seasonal-eval-006 passed=False strict_json=True
[183/200] seasonal-eval-007 passed=False strict_json=True
[184/200] seasonal-eval-008 passed=False strict_json=True
[185/200] seasonal-eval-009 passed=False strict_json=True
[186/200] seasonal-eval-010 passed=False strict_json=True
[187/200] seasonal-eval-011 passed=False strict_json=True
[188/200] seasonal-eval-012 passed=False strict_json=True
[189/200] seasonal-eval-013 passed=False strict_json=True
[190/200] seasonal-eval-014 passed=False strict_json=True
[191/200] seasonal-eval-015 passed=False strict_json=True
[192/200] seasonal-eval-016 passed=False strict_json=True
[193/200] seasonal-eval-017 passed=False strict_json=True
[194/200] seasonal-eval-018 passed=False strict_json=True
[195/200] seasonal-eval-019 passed=False strict_json=True
[196/200] seasonal-eval-020 passed=False strict_json=True
[197/200] seasonal-eval-021 passed=False strict_json=True
[198/200] seasonal-eval-022 passed=False strict_json=True
[199/200] seasonal-eval-023 passed=False strict_json=True
[200/200] seasonal-eval-024 passed=False strict_json=True
summary_json: artifacts/reports/frontier_gemini_liverag_extended200.json
case_jsonl: artifacts/reports/frontier_gemini_liverag_extended200.jsonl
summary_md: artifacts/reports/frontier_gemini_liverag_extended200.md
pass_rate: 0.07
